Python\/Django开发工程师|||1.4-2万\/月|||南京拾柴信息科技有限公司|||主要负责公司两款产品SeaTable和Seafile的开发。SeaTable是一款新一代的在线协同表格和信息管理系统，支持“文件”、“图片”、“单选项”、“多选项”、“协作人”等丰富的数据类型。它帮助用户方便的记录和管理各种零散的信息，既有协同表格的便利，又有信息管理系统的强大。()Seafile()是国人开发、国际认可的开源企业文件云存储解决方案，在Github上有8000+用户关注。Seafile提供Windows/Mac/Linux桌面客户端，以及Android/iOS客户端。每天有数以十万计的用户使用Seafile来同步、管理他们的文件。工作内容-参与seafile/seatableweb服务后端的功能设计和开发。-参与全文检索,后台事件调度，脚本运行平台等功能的设计和开发-参与部分前段页面的开发，主要涉及其中的逻辑部分职位要求-精通Python语言，熟悉Django框架-了解CSS,JavaScript等前端技术(我们使用React框架)-熟悉Git源码管理工具-英语读写能力良好职位福利-不搞996，晚6点半下班，但需要自己合理安排时间完成每周工作任务。-考核良好或者优秀，发放年薪10%的期权加分项-有过开源软件开发经验职能类别：Python开发工程师关键字：工具软件工具软件Pythondocker来源：拉勾微信分享
Python高级开发工程师|||1.5-2万\/月|||扬州万方电子技术有限责任公司|||职责：开发微服务平台系统。要求：1.正规大学本科以上学历。2.3年及以上Python开发经验，精通Python开发。3.精通Django框架，有实际应用项目经验。4.熟悉HTML5，Javascript，Json，熟悉Mysql数据库，熟练使用SQL。5.有websocketserver开发经验者优先。6.有Redis开发、部署经验者优先。7.了解HTTP协议，微服务，以及RestfulAPI。8.熟悉云服务平台（google，ali），了解服务器的部署和监控，了解负载平衡。9.了解敏捷开发，熟悉软件设计模式。职能类别：软件工程师高级软件工程师关键字：PythonDjangoHTML5JavascriptJsonMysqlSQLHTTPRestfulAPI微信分享
Web\/Python开发|||1.2-2万\/月|||北京先进数通信息技术股份公司|||岗位职责：-负责公司基于Vuejs的前端web相关产品的开发和维护工作-使用Python开发软件-注意开发过程中的软件组件和软件复用，保障产品质量希望你：‐3年-5年左右相关工作经验；‐熟悉WEB前端技术，对多浏览器兼容性问题有一定的经验；对用户体验、交互操作流程、及用户需求有一定了解‐熟悉Vuejs、typescript前端常用技术，掌握Webpack,Gulp等常见的构建工具-熟悉Python，或者至少能快速学会Python-具备复合型能力，要求你是多面手，能热爱技术，关注各方面的技术发展，有较强的学习能力，有强烈的求知欲、好奇心和进取心，能根据业务需求来及时学习和更新技术栈‐积极乐观，责任心强，工作认真细致，具备良好的服务意识，具有良好的团队沟通与协作能力职能类别：Web前端开发关键字：Web开发Python开发微信分享
Python高级开发工程师|||1.6-3万\/月|||北京慧点科技有限公司|||职责描述：1．参与公司核心系统项目的开发工作，如DDoS攻击防御系统、SD-WAN产品的开发等；2．能够根据项目的实际需要，进行技术方案的分析、选型；3．保证系统稳健，管控代码质量，持续提供改进性建议并且实施。任职要求：1.精通Python编程，熟练使用各种Python高级技巧。2.熟悉Linux/Unix，熟练使用常用的Linux命令和操作，能进行shell编程。3.对Python性能与优化有一定的了解。4.熟悉Flask或Django框架，有2年以上基于WEB框架的开发经验。5.熟悉HTTP协议以及RestfulAPI。6.具有MySQL数据库设计与优化能力，熟悉mongoDB、mc、redis等一种以上。7.至少了解一种前端框架如Angular，vue，react，并有过相关项目经验。8.具有良好的代码风格，具有良好的编程思想、沟通、团队合作精神、优秀的分析问题和解决问题的能力。9.有架构设计、接口设计的能力与经验。职能类别：大数据开发工程师关键字：python爬虫微信分享
Python开发工程师|||1-1.5万\/月|||北京寄云鼎城科技有限公司|||岗位职责：1.根据项目业务需求，通过编码实现业务逻辑2.按期按质交付开发主管安排的任务，主要包括业务系统Web端及API开发3.对已经完成的产品及项目进行编码维护任职要求：1.本科及以上学历，2年及以上工作经验2.熟悉Python，参与过完整并上线的多个项目案例3.有PythonWeb项目开发经验4.熟练运用MySql，具有MySQL索引优化、查询优化经验5.熟练掌握缓存知识，熟悉redis或memcache6.具有扎实的HTML、CSS、JAVASCRIPT基础7.熟练使用nginx，uwsgi部署应用8.熟练使用Linux命令进行问题分析，快速定位问题9.熟练使用版本控制管理工具svn、git10.有良好的代码习惯，结构清晰，命名规范，代码冗余率低11.具备较强的学习钻研能力和主动性，逻辑性强具有快速解决问题的能力职能类别：高级软件工程师软件工程师微信分享
python开发工程师(运维开发)|||0.8-1.5万\/月|||北京智通云联科技有限公司|||职责：1、负责自动化运维平台的运行维护及扩展功能开发。2、根据客户需求，基于蓝鲸PaaS平台开发自动化运维APP应用。3、负责将客户现有运维工具向自动化运维平台进行功能迁移、集成等整合工作。任务资格：1.熟悉linux/unix操作系统配置及维护，能编写shell脚本实现日常服务器管理。2.有python开发经验，熟悉django开发框架。3.了解腾讯蓝鲸自动化运维平台，有基于蓝鲸PaaS平台开发自动化运维APP经验尤佳。职能类别：Python开发工程师微信分享
Python开发工程师|||1-1.5万\/月|||罗德与施瓦茨（中国）科技有限公司|||岗位职责:1、负责程序的后台开发工作2、负责医院信息系统数据整理,加工,清洗,转换成项目可用数据↓具体要求:↓1、掌握,Python编程语言等2、熟悉PostgreSQL/MySQLSQLServer/Oracle等数据库和SQL的编写及调优,能够独立编写函数、存储过程、触发器等←3、熟悉Linux操作系统,能熟练使用各种Linux命令4职能类别：Python开发工程师微信分享
Python研发工程师|||1-1.5万\/月|||北京人天书店有限公司|||工作职责:1、负责数据收集处理平台的前后台开发和性能调优2、负责网页信息抽取、数据清洗等研发和优化工作3、负责解决项目中的一般性技术问题和BUG修复任职资格:1.掌握Python开发语言,熟悉常用的类库;2.有HTML，XML文件分析解读能力，熟练使用正则表达式、XPATH等常用开发技能;3.熟悉Linux操作系统及基础命令，熟悉Shell;4.熟练使用关系型数据库（MySql等），了解NoSql;5.熟悉常见的数据结构及设计模式；6.统招统分本科及以上学历，计算机相关专业。职能类别：Python开发工程师关键字：PythonLinuxMysqlXML微信分享
python工程师|||6-8千\/月|||泰星达（北京）科技有限公司|||工作职责：1、负责大数据的数据采集与爬取、解析处理、入库及备份等数据日常工作；2、负责数据的清洗、整理、整合及合并等工作；3、破解反爬机制，优化爬虫路由调度策略，同时负责反爬策略的设计及优化；任职要求：1、计算机相关专业，本科；2、有python研发经验；3、熟悉爬虫原理，熟悉常见的反爬虫技术，有大型爬虫项目开发经验者优先；4、掌握http协议，熟悉html、dom、xpath等常见的数据抽取技术；5、有大规模数据处理、数据挖掘、信息提取等经验者优先；6、承担较大的工作压力，具有良好的沟通和团队协作能力。职能类别：数据采集工程师微信分享
Python开发工程师|||0.9-1.5万\/月|||中信网络科技股份有限公司|||岗位职责：1、根据产品需要，承担相关模块开发任务，按计划完成任务目标；2、根据设计文档或需求说明完成代码编写、调试、测试和维护；3、积极解决开发过程中遇到的问题，对程序存在的缺陷进行改进，对程序的性能进行调优；4、负责相关模块的文档编写工作；5、配合上级领导完成要求的其他技术性的任务；任职要求：1.至少连续两年python开发经验，有良好的编码习惯及调优能力；2.精通Python语言，熟练使用常用模块，使用过Tornado/Django等web框架做过项目；3.具备独立搭建大型项目的能力，熟悉完整的产品研发流程；4.熟悉linux开发环境，熟悉常用算法和数据结构；5.能够快速融入部门环境，具备良好的自主学习能力；6.熟悉网络安全产品和工具研发者优先考虑。职能类别：Python开发工程师微信分享
Python后端研发|||1.5-2.5万\/月|||上海华讯网络系统有限公司|||职位描述：1、参与技术构架设计；2、参与系统设计、研发、部署等相关工作；3、研发基础服务组件，解决共性需求，减少重复开发。职位要求：1、计算机及其相关专业，本科及以上学历；2、2年以上的研发经验，具有扎实的编程语言基础和软件设计思想；3、熟悉面向对象编程，掌握Python，掌握PHP、JAVA优先；4、熟悉MYSQL、NOSQL、消息队列等常用WEB组件；5、有较强的学习能力，有强烈的求知欲、好奇心和进取心，有良好的沟通能力和业务理解能力。职能类别：Python开发工程师微信分享
Python开发工程师|||1-1.5万\/月|||深圳极联信息技术股份有限公司|||岗位职责：1、根据项目要求，编写后端、前端代码实现产品功能，完成项目开发，撰写相关文档。2、负责核心技术问题的攻关，系统优化，协助解决项目开发过程中的技术难题。3、根据项目的整体计划和安排，进行技术培训和指导、项目实施和项目协调沟通工作。4、参与AI应用技术的研究工作，评估外部技术与解决方案。5、本岗位侧重后端，同时要求具备前端技能。岗位要求：0、本科及以上学历，计算机相关专业，3年及以上的python后端开发经验。1、精通Python语言，熟悉使用Pythonweb框架（Flask、Django）进行开发。2、熟练使用Linux平台、熟悉Linux常用命令。3、熟悉主流的SQL和NOSQL数据库，比如：mysql/Redis/MongoDB等。4、熟悉爬虫和分布式爬虫，掌握Scrapy爬虫框架。5、熟悉Docker容器技术。6、熟悉使用Celery异步任务队列,消息队列。以下web前端技能是加分项：0、本科及以上学历，计算机相关专业，2年及以上的web前端开发经验。1、熟练使用Vue全家桶、ElementUI框架。2、精通HTML5、CSS3，熟悉W3C标准，能够解决常见兼容性问题。3、精通javascript，熟练运用ES6语法。4、熟悉webpack、less、git等技术。5、熟悉HTTP协议，理解Restful。6、熟悉Echarts等图表组件库，能熟练自定义常用的图表。职能类别：Python开发工程师关键字：python软件开发微信分享
python研发工程师|||1.2-1.8万\/月|||北京海峰科技有限责任公司|||岗位职责：1、负责公司的DevOps能力建设，推动公司自动化运维、部署，提升整体维护效率;2、推进产品版本标准化运维工作;3、保障系统层面的稳定运行，有能力处理突发事件、对疑难问题进行跟踪并最终解决;4、运维平台后台开发,云平台功能开发任职要求：1、统招本科毕业;2、熟悉CI/CD流程和工具,版本控制工具如git、代码检查工具等;3、熟悉Shell、Python;4、熟悉Linux系统管理，熟悉TCP/IP网络协议;5、熟悉自动化运维管理工具（puppet/saltstack/ansible之一），有监控（zabbix,Prometheus之一）经验;6、有web后台开发经验(flask或django等);7、熟悉运维自动化平台，参与过运维体系建设者优先;8、加分项:熟悉kvm,docker职能类别：Python开发工程师关键字：pythonsre运维开发flaskzabbix云计算微信分享
Python高级开发工程师|||1.2-2.4万\/月|||北京集展科技有限公司|||负责Python系统的开发，包含安全计算机产品、医疗、大数据平台等平台开发；负责系统架构设计、数据库结构设计、业务逻辑抽象等编码工作；公司相关数据库系统和服务器资源的运维工作。公司生产环境的相关系统运维工作。任职要求：1.本科学历，计算机及相关专业2年以上PyQt应用开发经验；2.熟悉PyQt应用开发框架，具有linux及windows平台下开发经验；3.基于PyQt平台的软件应用开发和维护，后端语言为python；4.熟悉PyQt界面开发相关技术，如界面布局、界面自绘、自定义控件等，能用PyQt实现复杂界面交互；5.熟悉Qss对控件进行美化、贴图；6.有PyQt跨平台开发经验优先。职能类别：Python开发工程师软件工程师关键字：python软件开发软件工程师开发工程师微信分享
Python开发工程师|||0.8-1万\/月|||阿基米米科技（北京）有限公司|||模拟器软件开发工作，参与技术方案讨论和设计进行软件详细设计和编码实现，确保性能、质量安全；负责代码和合相关文档的维护岗位要求1)计算机、通信或相关专业本科及以上学历,具备较强英文阅读能力。2)熟练使用python编程语言，了解qt框架，熟悉Linux/Unix系统或c语音，具有多线程开发经验。3)熟悉TCP/IP网络协议，具有交换机、路由器开发经验者优先。4)对虚拟化技术有研究者优先。5)具备良好的沟通协调能力和团队合作精神，较强的工作责任，能够在一定的压力下独立解决问题。职能类别：Python开发工程师关键字：python微信分享
Python开发工程师|||1.5-3万\/月|||北京中创信测科技股份有限公司|||1、配合项目经理，完成公司项目的接口开发；2、独立分析、评估并解决问题，能够在较短时间内寻求最优解决方案；任职要求：1、一本院校计算机相关专业统招本科毕业；2、3年以上开发经验，能够熟练使用python语言有系统层面（如面向服务器、网络设备等）研发经验2年以上；3、熟悉Linux，能进行基本的常用操作；4、熟悉网络HTTP、TCP等网络协议，熟悉网络编程；5、具有大型网站或高并发系统开发、设计工作经验者优先；6、责任心强，自我驱动力强，具有良好的沟通和团队协作能力，主动，好学。职能类别：Python开发工程师关键字：python开发工程师微信分享
高新诚聘python工程师|||1-1.5万\/月|||北京星天宇科技有限公司|||岗位职责：1、负责对目标网站抓取数据进行分析，调优爬取策略。2、负责爬虫平台的设计和开发，包括调度策略、分布式的设计与优化。3、负责爬虫平台的监控和报警服务设计及优化，保证爬虫平台的稳定运行。4、负责可视化采集模板的技术调研、设计及开发。任职要求：1、本科以上学历，计算机，通信，软件工程等相关专业；2、具有2年以上爬虫工作经验，熟练掌握Python；3、熟悉scrapy，WebMagic爬虫框架；4、熟练掌握使用正则表达式、XPath、CSS等方式抽取网页元数据；5、熟练掌握使用模拟方式，如Selenium+PhantomJS获取网站数据；6、为人正直，有责任心，态度积极，具备良好的团队合作精神。职能类别：Python开发工程师微信分享
Python开发工程师|||1-1.5万\/月|||北京安德医智科技有限公司|||1、熟练掌握python2、熟悉框架tornado3、熟悉数据库，如mysql、redis、mongodb4、对网络技术有一定了解5、具有较强的沟通能力、学习能力6、能够维护已有代码7、能够适应驻场工作并符合驻场工作要求职能类别：Python开发工程师关键字：python微信分享
Python开发工程师|||2-4万\/月|||华风爱科气象科技（北京）有限公司|||岗位职责：1、负责资产测绘和漏洞扫描产品的研发工作，根据产品需求制定技术实现方案；2、负责架构和底层代码的设计、开发和优化工作，提升产品技术层面的扩展性、稳定性和易维护性；3、负责关键开发技术的攻关预研工作，优化关键模块的性能；4、编写易于维护的高质量代码，推进团队的质量建设和改进。岗位要求1、两年以上开发经验，熟练掌握Python、C/C++、golang等至少一门编程语言及相关技术栈；2、熟悉主流数据库和中间件(Mysql、PostgreSql、MongoDB、Redis、Kafka、Rabbitmq等)的设计原理、相关技术及调优；3、熟悉Linux/unix环境开发，掌握网络技术，具有系统性能分析、故障排除等技能；4、具备良好的人际沟通能力和团队协作意识，并有主导项目开发的经验；5、有大型互联网后端开发经验者优先，有微服务架构设计经验者优先；6、有资产测绘项目、安全开发或攻防渗透方面经验者优先。职能类别：Python开发工程师关键字：python软件开发软件工程师微信分享
python web开发|||1-1.5万\/月|||北京文泽智远信息技术有限公司|||职位关键词：Python，Django，Flask，Tornado，后端开发，数据库，PyCharm，SQL此为长期外派的岗位职责描述：从事可信设备管理平台的搭建及开发工作，负责web后端数据库设计、功能API接口开发及维护；任职要求：1、本科及以上学历，计算机相关专业，三年及以上pythonweb开发经验；（自动化之类专业也可以）（学历民教网可查即可，2017年及2017年之前毕业的本科）2、扎实的Python编程基础，热爱编程、具有良好的代码风格；3、掌握Django框架原理，熟练运用Django进行RESTfulAPI接口开发；4、掌握数据库设计方法，至少掌握一种数据库，如Mysql、postgresql等;5、熟悉Linux操作系统，能够独立进行web服务的部署；6、良好的沟通能力、团队合作意识，能够承受一定的工作压力；7、有大数据技术（kafka、spark）、可信计算相关开发经验的优先。职能类别：Python开发工程师关键字：pythondjangoweb微信分享
python爬虫工程师|||2.5-3万\/月|||观脉科技（北京）有限公司|||岗位职责：1.参与开发和优化分布式爬虫系统2.实时监控爬虫的进度和预警处理3.负责持续跟踪分析爬虫系统的技术缺陷，对策略架构做出合理地调整和改进，提升公司相关产品与服务的竞争力任职要求：1.熟练使用python语言，进程、线程、协程2.熟练使用mongo,redis,mysql等数据库3.熟练使用常见爬虫框架(xpath/scrapy/scrapy-redis/pyspider等4.能处理常见反扒问题能力(代理/app抓包/web反扒)4.有较好的逻辑思维及良好的代码习惯5.掌握基本数据结构和算法，能够灵活使用编程技巧和设计模式等相关知识6.具备爬虫程序架构设计能力、模块化设计能力7.有使用过kafka/docker/ES等技术者优先8.有分布式爬虫系统设计、工程化和运维经验者优先9.有两年及以上爬虫经验职能类别：爬虫开发工程师微信分享
Python开发工程师|||1-2万\/月|||航科院（北京）科技发展有限公司|||岗位职责1、负责智能语音业务相关产品的研发2、参与后端系统的设计、开发、优化及架构升级；3、对现有系统的不足进行分析，找到系统瓶颈，提升系统性能。任职要求1、本科及以上学历，计算机相关专业；2、二年以上开发经验，熟练使用python。3、熟悉djangotornadoflask任一python开发框架，懂代码调试并能持续优化；4、熟悉HTTP协议，能开发符合RESTful设计思想的接口；5、有mysql.mongodb.redis等常用数据库的使用经验；6、优良的代码注释习惯，并能编写有条理的开发文档。7、使用过运维工具，能自行编写简单的SHELL脚本8、有做过智能语音系统项目经验、熟悉NLP相关技术者优先；职能类别：Python开发工程师关键字：python微信分享
后端开发工程师（Golang\/Python）|||1.5-3万\/月|||中电福富信息科技有限公司|||岗位职责：1、和其他研发团队一起构建我们的系统平台；2、负责相关服务端开发和架构升级，并与前端对接；3、参与基础系统的设计、研发等相关工作；4、研发基础服务组件，解决共性需求，减少重复开发与运维；5、参与生产系统维护工作，解决生产系统问题及进行系统调优。职位要求：1、有扎实的编程能力，有优秀的设计和代码品位；2、深入理解TCP/IP、HTTP、gRPC、WebSocket等网络协议；3、熟练掌握Linux下Golang/Python等一种以上程序开发；4、熟悉Mongodb、Redis、MySQL、MQ等基础技术；5、有较强的系统问题分析经验和能力，能够解决复杂的系统问题；6、积极乐观，责任心强，工作认真细致，具有良好的团队沟通与协作能力；7、熟悉Protobuf、ES、docker、kubernates等容器技术优先；8、开源社区活跃贡献者优先。职能类别：软件工程师关键字：python软件开发开发工程师GolangGo微信分享
德企招Python 全栈工程师|||1-1.5万\/月|||猪八戒股份有限公司|||职责描述：1.负责使用Python-Django框架构建前后端分离数据收集分析系统、实现数据应用处理需求；2.负责连接后台SQLServer各类数据源功能实现及运行优化；3.负责用HTML前端网页交互界面开发；4.数据库规范化文档设计及管理；5.前瞻性网站数据库技术与解决方案研究。任职要求：1.本科以上学历，计算机或数学相关专业，能够独立完成数据库开发前端访问，后台维护，数据运算处理等相关项目;2.2年以上使用Python开发经验、熟练使用Django框架、精通SQLServer、存储过程，熟悉数据库性能调优及服务器性能调优;3.精通HTML，CSS，JavaScript(jQuery)Web开发相关技术，具有3年以上Web独立开发经验;4.能承受工作压力、有良好的团队合作精神。职能类别：Python开发工程师高级软件工程师关键字：全栈PythonDjangoSQLServerHTMLCSSjavaScriptweb微信分享
Python开发工程师|||1.5-2万\/月|||北京博天数创科技有限公司|||岗位职责：1.两年以上DevOps经验，熟悉DevOps研发流程以及持续集成工具链上的各种开源工具；2.熟悉持续集成中的重点工具（Svn、Git等版本控制工具、代码检查工具等工具）优先；3.熟悉Python语言，有过基于Django开发的Devops平台经验优先；4.熟悉Linux系统管理，熟练掌握一门脚本语言，熟悉TCP/IP网络协议；5.熟悉Docker、K8S，有基于K8SAPI开发经验技术优先；6.热爱DevOps，持续集成、CMDB、ELK等平台开放有想法、喜欢挑战者优先；7.具备良好的英文阅读能力，良好的学习能力、分析解决问题能力；8.良好的学习能力、沟通能力、适应能力，责任心强，团队合作精神，能在压力下独立解决问题。福利：每月20号之前发放工资、五险一金、法定节假日、员工周年礼物、定期体检、节日礼品、周末双休职能类别：Python开发工程师关键字：pythondjango开发工程师DevOps微信分享
Python开发工程师|||1.3-2.3万\/月|||北京普太科技有限公司|||岗位职责:1.参与系统架构设计，提出解决方案；2.系统功能模块的详细设计及编码实现；任职资格:1、本科以上学历，计算机或人工智能相关专业；2、2年以上Python开发经验，3年以上工作经验；3、至少掌握Django或Flask框架、有Web项目开发部署经验；4、有一定的机器学习基础知识，有计算机视觉、自然语言处理相关工作经验者优先；5、积极主动、抗压能力强、有团队合作精神。职能类别：Python开发工程师微信分享
